#,Time,Feature Name,Description,Task URL,Changelog URL
20,"January 23, 2026",Tách general instruction,"[Improvement] Cấu trúc lại trang General Instruction để train AI hiệu quả hơn
• Vấn đề: Merchant gặp khó khăn khi thêm instruction cho AI, dễ nhập trùng với system prompt hoặc thêm nội dung thừa/sai, ...",Tách general instruction thành các mục (https://www.notion.so/T-ch-general-instruction-th-nh-c-c-m-c-277b0da449f1801b9380d572162c7415?pvs=21),
21,"January 23, 2026",Improve UI scenario size guide,"Update layout, UI, fix bug Agent instruction | Size guide",Improve UI scenario size guide  (https://www.notion.so/Improve-UI-scenario-size-guide-2b6b0da449f180349c63d3fe23529d69?pvs=21),
22,"January 19, 2026",[Analytics] Agent performance report,"[New feature] Thêm report về Handling time & Resolution time
• Mục đích: giúp MC đánh giá hiệu quả xử lý hội thoại và tối ưu hiệu suất support
• Vị trí: Analytics | Human agent  https://capture.avada....",[Analytics] Agent performance report (https://www.notion.so/Analytics-Agent-performance-report-2a4b0da449f180c6a891dad0ab4fefdd?pvs=21),
23,"January 19, 2026",[Improvement] Thêm tuỳ chọn Subscribe trên Pre-chat form,"[Improvement] Thêm tuỳ chọn subscribe trên pre-chat form
• Vấn đề: khách sau khi submit pre-chat form chỉ được tạo dưới dạng lead và ko tự động convert thành customer, khó follow-up hoặc gửi campaign ...",Thêm subscribe newsletter trên pre-chat form để convert lead (https://www.notion.so/Th-m-subscribe-newsletter-tr-n-pre-chat-form-convert-lead-2a4b0da449f1801d80c1e70088a8f9d7?pvs=21),
24,"January 19, 2026",[Improvement] Thêm chỉ số Chatty Contributed Sales,"[Improvement] Thêm chỉ số Chatty contributed sales
• Mục đích: giúp MC đo lường mức độ đóng góp doanh thu của Chatty đối với store
• Vị trí: https://capture.avada.io/i/x4Wd67ZjJycd, https://capture.av...",[Analytics] Thêm chỉ số Chatty contributed sales  (https://www.notion.so/Analytics-Th-m-ch-s-Chatty-contributed-sales-2a4b0da449f18040bad5f791402962aa?pvs=21),
25,"January 13, 2026",[Improvement] Sync cart updates với custom theme,"[Improvement] Sync cart updates với custom stheme
• Vấn đề:
    ◦ 1 số Shopify theme (đặc biệt là custom cart / cart drawer tự build) ko tuân theo chuẩn Shopify
    ◦ Khi Chatty AI add / update / remo...",,
26,"January 13, 2026",[Improvement] Nâng trải nghiệm trial với conversation bonus & product limit,"[Improvement] Nâng trải nghiệm trial với conversation bonus & product limit
• Mục đích: Tăng activation và conversion từ Trial sang Paid plan, đồng thời giúp MC trải nghiệm đầy đủ giá trị của AI trước...","Tăng limit product cho trial Basic, Pro (https://www.notion.so/T-ng-limit-product-cho-trial-Basic-Pro-2ccb0da449f180268e79c0c076fa1493?pvs=21) 
Offer AI usage credit với trial plan (https://www.notion.so/Offer-AI-usage-credit-v-i-trial-plan-2bfb0da449f1803eb980f01b5f775f75?pvs=21)",
27,"January 12, 2026",New pricing 2026,,"Update pricing tháng 11 (https://www.notion.so/Update-pricing-th-ng-11-299b0da449f180beb4ecdf283cfaeb75?pvs=21) 
[Pricing] Update AI usage từ số reply sang số conversation (https://www.notion.so/Pricing-Update-AI-usage-t-s-reply-sang-s-conversation-2b0b0da449f180198498c2563a6deb20?pvs=21)",
28,"January 9, 2026",Proactive chat “Search page”,"[New Feature] Proactive chat “Search page welcome”
• Mục đích: chủ động tiếp cận khách hàng trên trang tìm kiếm, tăng tương tác, khuyến khích mua hàng 
• Vị trí: Proactive chat → Create proactive chat...",[Proactive chat] Search page (https://www.notion.so/Proactive-chat-Search-page-25ab0da449f18009bc41f06ef37538dc?pvs=21),
29,"January 8, 2026",Bổ sung các loại message cho proactive chat,"[Improvement] Bổ sung loại Message cho Proactive Chat
• Vấn đề: Một số proactive chat chưa hỗ trợ đầy đủ các loại message như coupon hoặc product recommendation.
• Mô tả:
    ◦ Welcome Visitor: bổ sun...",Bổ sung các loại message cho proactive chat  (https://www.notion.so/B-sung-c-c-lo-i-message-cho-proactive-chat-263b0da449f18080b8a6d6187ff2597e?pvs=21),
30,"January 8, 2026",[Design] Update UI các form trên inbox và storefront,"[Improvement] Cải thiện UI các form trên inbox, chatbox 
Sửa lại UI các form trên inbox, trang test AI và chatbox (light/dark mode)
• CSAT form
• contact form
• transfer form
• pre-chat form
• subscri...",[Design] Update UI các form trên inbox và storefront  (https://www.notion.so/Design-Update-UI-c-c-form-tr-n-inbox-v-storefront-2a2b0da449f18017aea2ce637df8d975?pvs=21),
31,"January 8, 2026",Improve proactive chat design settings,"[Improvement] Cập nhật design proactive chat 
• Mô tả:
    ◦ Cập nhật ảnh preview của proactive chat trong list view.
    ◦ Bổ sung cài đặt Button Label Color để tùy chỉnh màu chữ trên button https://...",Improve proactive chat design settings  (https://www.notion.so/Improve-proactive-chat-design-settings-2bdb0da449f18092bb68e1bd31743b96?pvs=21),
32,"January 8, 2026",Filter sản phẩm gợi ý còn hàng ở proactive chat,"[Improvement] Chỉ gợi ý sản phẩm còn hàng trong Proactive Chat
• Vấn đề: Proactive chat có thể gợi ý sản phẩm đã hết hàng, khiến khách không thể mua dù được AI đề xuất
• Mô tả:
    ◦ Cập nhật logic pr...",Filter sản phẩm gợi ý còn hàng ở proactive chat (https://www.notion.so/Filter-s-n-ph-m-g-i-c-n-h-ng-proactive-chat-2c5b0da449f180f5a370e9d6b728cb5f?pvs=21),
33,"January 8, 2026",Thêm default proactive chat cho store mới,"[Improvement] Cập nhật Proactive Chat mặc định
• Mô tả:
    1. Tự động tạo proactive chat mặc định khi cài app, bao gồm:
        ▪ Cart Booster
        ▪ Abandoned Cart Reminder
        ▪ Collection B...",Thêm default proactive chat cho store mới (https://www.notion.so/Th-m-default-proactive-chat-cho-store-m-i-2bfb0da449f1804a97d3c8ff678d47cd?pvs=21),
34,"January 8, 2026",[Improvement] Report Issue cho AI Response,"[Improvement] Report issue cho AI response 
• Vấn đề: khi MC gửi feedback về AI response, team sẽ nhận qua Slack và liên hệ lại qua Crisp dẫn đến hỗ trợ chậm 
• Mục đích: thu thập feedback từ merchant...",Thêm report issue dưới mỗi AI response (https://www.notion.so/Th-m-report-issue-d-i-m-i-AI-response-2c0b0da449f1809fa91bd9258ba46604?pvs=21),
35,"December 31, 2025",Đổi domain email forwarding,"[Improvement] Fix lỗi không kết nối được email forwarding từ Outlook
• Vấn đề: Email forwarding từ Outlook và 1 số nhà cung cấp khác không kết nối được do bị Cloudflare Email Routing chặn
• Mục đích: ...",Self-hosted Mail Server (Postfix + AWS) (https://www.notion.so/Self-hosted-Mail-Server-Postfix-AWS-2d6b0da449f1804d89cedb58be82eb25?pvs=21),
36,"December 31, 2025",Scenarop Inventory status,"[Improvement] Tùy chỉnh AI trả lời theo Inventory status
• Vấn đề: Với sản phẩm out of stock nhưng vẫn cho phép bán, AI trả lời là “in stock”, gây hiểu nhầm cho khách hàng
• Mục đích: giúp AI trả lời ...",Scenario inventory status  (https://www.notion.so/Scenario-inventory-status-2d1b0da449f180d0bbf0cfac868fde23?pvs=21),
37,"December 30, 2025",Custom after-sales support scenario,"[Improvement] Tùy chỉnh Scenario After-sales Service
• Vấn đề: luồng after-sales hiện đang cố định, khiến merchant không thể tùy chỉnh cách xử lý (nhiều MC tắt scenario mặc định để tạo custom scenario...",Custom scenario after sales (https://www.notion.so/Custom-scenario-after-sales-23fb0da449f1803491cac959f7d885dc?pvs=21),
38,"December 30, 2025",Đọc ảnh sản phẩm trong tin nhắn từ các channel,"[Improvement] AI đọc ảnh sản phẩm từ các kênh social
• Mục đích: giúp AI hiểu ngữ cảnh tốt hơn khi khách gửi hình ảnh sản phẩm từ các kênh 
• Mô tả:
    ◦ Trước đây: AI chỉ có thể đọc ảnh được gửi từ ...",Suggest sản phẩm tương tự ảnh sản phẩm trong tin nhắn từ các channel  (https://www.notion.so/Suggest-s-n-ph-m-t-ng-t-nh-s-n-ph-m-trong-tin-nh-n-t-c-c-channel-2c0b0da449f180b8b755d0ed7e07a54d?pvs=21),
39,"December 27, 2025",LinkeIn banner,"Banner follow Chatty trên LinkedIn
• Mục đích: cập nhật thông tin mới nhất cho merchant, tăng retention
• Vị trí: Dashboard https://capture.avada.io/i/HczNQbn9s92d
• Mô tả:
    ◦ Thêm banner follow tr...",LinkedIn banner - Homepage (https://www.notion.so/LinkedIn-banner-Homepage-2d5b0da449f180019ac9cfb5bcc53d81?pvs=21),
40,"December 25, 2025",Thêm AI thinking state khi AI trả lời,"[New Feature] AI Thinking State khi trả lời
• Mục đích: giúp người dùng hiểu cách AI phân tích câu hỏi, tạo cảm giác phản hồi tức thì trong quá trình xử lý, nâng cao trải nghiệm tương tác
• Vị trí: Ch...",,
41,"December 24, 2025",Update quy tắc hiển thị preview product đang xem,"[Improvement] Cập nhật logic hiển thị Product Preview trong Chatbox
• Vấn đề: Khi khách click proactive chat gợi ý sản phẩm khác với sản phẩm đang xem, chatbox vẫn hiển thị preview sản phẩm cũ, gây nh...",Update quy tắc hiển thị preview product đang xem (https://www.notion.so/Update-quy-t-c-hi-n-th-preview-product-ang-xem-2c3b0da449f18048823ee9f61faf859a?pvs=21),
42,"December 24, 2025",Sales analytics,"[New Feature] Sales Analytics
• Mục đích: Giúp merchant theo dõi hiệu quả của Chatty trong việc tạo doanh thu, từ đó tăng mức độ gắn bó và sử dụng app lâu dài
• Vị trí: Analytics → Sales https://captu...",[Analytics] Sales analytics  (https://www.notion.so/Analytics-Sales-analytics-1a6b0da449f180718e5ffe584b63b355?pvs=21),
43,"December 24, 2025",Cập nhật rule hiển thị lại proactive chat,"[Improvement] Cập nhật tần suất hiển thị Proactive Chat
• Vấn đề: Proactive chat hiện chỉ hiển thị một lần; khi khách nhấn Close, teaser sẽ không xuất hiện lại
• Mục đích: Cho phép proactive chat hiển...",Update tần suất hiển thị proactive chat (https://www.notion.so/Update-t-n-su-t-hi-n-th-proactive-chat-288b0da449f180c58a0ff81f6bf6b350?pvs=21),
44,"December 24, 2025",Improve proactive chat design settings,"- Update ảnh preview 
- Thêm button label color 
- Update field Button color 
- Sửa teaser quick question của Welcome visitor đồng nhất với proactive chat khác",Improve proactive chat design settings  (https://www.notion.so/Improve-proactive-chat-design-settings-2bdb0da449f18092bb68e1bd31743b96?pvs=21),
45,"December 23, 2025",Dịch email message admin gửi cho customer,"- Thêm translation cho New message from {{ http://shop.name }}
- Lấy ngôn ngữ từ conversation hoặc last message",Dịch email message admin gửi cho customer (https://www.notion.so/D-ch-email-message-admin-g-i-cho-customer-2c3b0da449f180f58cb6f3798553b6d7?pvs=21),
46,"December 18, 2025",Thêm paste ảnh tại chatbox,"[New Feature] Paste ảnh trực tiếp vào ô nhập tin nhắn
• Mục đích: Giúp khách hàng và CS gửi hình ảnh nhanh hơn khi chat, không cần thao tác upload thủ công.
• Vị trí: Chatbox → Ô nhập tin nhắn.
• Mô t...",Paste ảnh ở ô input chat trên chatbox (https://www.notion.so/Paste-nh-input-chat-tr-n-chatbox-2c7b0da449f180b19406fa31f5d5abd7?pvs=21),
47,"December 18, 2025",[Subscribe newsletter] Thêm CTA trên teaser,"[Improvement] Cập nhật teaser proactive chat  “Subscribe newsletter”
• Vấn đề: Với luồng subscribe newsletter hiện tại, khi khách click teaser sẽ gửi teaser + form ngay, dễ khiến khách rời đi
• Mục đí...",[Subscribe newsletter] Thêm CTA trên teaser (https://www.notion.so/Subscribe-newsletter-Th-m-CTA-tr-n-teaser-264b0da449f1805e8e3ec02acd4375c8?pvs=21),
48,"December 18, 2025",[New Feature] Integration với Powerful Contact Form,"[New Feature] Integration với Powerful Contact Form
•Vấn đề: Khi MC dùng app contact form, mọi form submission đều tạo chung một conversation do email sender mặc định của app, gây khó khăn trong việc ...",[Integration] Powerful form builder (https://www.notion.so/Integration-Powerful-form-builder-296b0da449f180cebbcfde1ce6238efb?pvs=21),
49,"December 15, 2025",Block conversation theo IP customer,"[New Feature] Block Conversation theo IP Customer
• Vấn đề: Chức năng block hiện tại chỉ áp dụng cho từng conversation, → trường hợp spam vẫn có thể tiếp tục tạo hội thoại mới bằng cách ẩn danh hoặc x...",Block conversation theo IP customer (https://www.notion.so/Block-conversation-theo-IP-customer-2b9b0da449f1801a8a77d83b7fc36ac0?pvs=21),
50,"December 12, 2025",Bỏ setting “Send transcript history”,"[Improvement] Cập nhật gửi transcript cho khách hàng
• Vấn đề:
    ◦ Khách có thể gửi transcript bất kỳ lúc nào từ chatbox
    ◦ App đã có tính năng Send transcript trong Inbox (dùng cho gửi nội bộ ho...",Bỏ setting “Send transcript history” (https://www.notion.so/B-setting-Send-transcript-history-2a9b0da449f180df8369d20a7d762b4e?pvs=21),
51,"December 11, 2025","[Proactive: Product recommendation] Thêm quick message button (custom, auto)","[New Feature] Text message và quick question cho proactive chat “Product recommendation” 
• Mục đích: giúp khách dễ dàng đặt câu hỏi → tăng tương tác khám phá sản phẩm
• Vị trí: Proactive Chat → Produ...","[Proactive: Product recommendation] Thêm quick message button (custom, auto) (https://www.notion.so/Proactive-Product-recommendation-Th-m-quick-message-button-custom-auto-25ab0da449f1804d9813cc68a456ad6e?pvs=21)",
52,"December 11, 2025",[Improvement] Tự động mark as read cho resolved conversation,"We currently do not offer installment payment plans. However, you may want to consider alternative payment options available at checkout. For more details, please refer to our [payment information](UR...",Auto mark as read cho resolved conversation (https://www.notion.so/Auto-mark-as-read-cho-resolved-conversation-2beb0da449f180599466dba3df80472d?pvs=21),
53,"December 11, 2025",Improve Chatty buddy,"[Improvement] Tối ưu Chatty Buddy để tăng tỷ lệ Activate AI
• Mục đích: Giúp merchant hoàn tất setup nhanh hơn
• Mô tả:
    ◦ Tự động bật AI khi merchant enable Chatty embed app trong Theme Editor, kh...",Improve Chatty buddy (https://www.notion.so/Improve-Chatty-buddy-2bfb0da449f1805fac65f550f8cfdf16?pvs=21),
54,"December 9, 2025",Translation in app,"[New Feature] Cài đặt ngôn ngữ hiển thị trên app
• Mục đích: giúp merchant xem và sử dụng app bằng ngôn ngữ quen thuộc, từ đó thao tác cài đặt và quản lý dễ dàng hơn
• Vị trí: Settings → App Language
...",Translation in app  (https://www.notion.so/Translation-in-app-07efa4a7ac96409197d2c110217cc470?pvs=21),
55,"December 9, 2025",[Shopify flow] Tạo trigger create customer,"[New Feature] Sync Contact từ Pre-chat sang App Marketing (Shopify Flow Event)
• Mục đích: Giúp merchant đồng bộ thông tin contact thu được từ Chatty sang các app marketing để gửi campaign tự động
• V...",[Shopify flow] Tạo trigger create customer (https://www.notion.so/Shopify-flow-T-o-trigger-create-customer-2b5b0da449f180a7903dcf0feadd3f04?pvs=21),
56,"December 9, 2025","Export conversation to CSV, TXT","[New Feature] Export conversation transcript
• Mục đích: giúp merchant tải và lưu trữ conversation transcript để phục vụ lưu trữ, phân tích nội bộ 
• Vị trí: Inbox → Conversation header 
• Mô tả:
Thêm...",Export conversation to CSV (https://www.notion.so/Export-conversation-to-CSV-2a4b0da449f18003b00ce6a648a04c81?pvs=21),
57,"December 4, 2025",[Improvement] Thêm embed float chatbox button,"[Improvement] Thêm embed float chatbox button
Mục đích: thêm chatbox  vào website ngoài Shopify dạng float button (trước đó chỉ thêm dưới dạng embed chatbox) 
Vị trí: Settings | Integrations  | Websit...",Thêm embed float button widget (https://www.notion.so/Th-m-embed-float-button-widget-2bcb0da449f1802bbf9cc7464a50e6d2?pvs=21),
58,"December 4, 2025",[New feature] Tạo script cho FAQs block,"[New Feature] Tạo script cho FAQs Block
• Mục đích: cho phép merchant chèn FAQs block vào bất kỳ trang nào bằng snippet code 
• Vị trí: FAQs | FAQs Block | Edit FAQs block https://capture.avada.io/i/9...",[FAQs] Tạo script cho FAQs block (https://www.notion.so/FAQs-T-o-script-cho-FAQs-block-2b6b0da449f180b683abc3c25c3a529c?pvs=21),
59,"December 2, 2025",[Improvement] Thêm điều kiện Maximum Cart Value cho Cart Booster,"[Improvement] Thêm điều kiện Maximum Cart Value cho Cart Booster
Vấn đề: Proactive chat “Cart Booster” chỉ hỗ trợ cài đặt minimum cart value → merchant ko thể giới hạn hiển thị proactive chat khi giá ...",Thêm điều kiện maximum cart value cho Cart Booster (https://www.notion.so/Th-m-i-u-ki-n-maximum-cart-value-cho-Cart-Booster-2b2b0da449f1809ab2bbe880d9eade9c?pvs=21),
60,"December 2, 2025",Proactive chat “Cart reminder”,"[New Feature] Proactive Chat “Abandoned cart reminder”
• Mục đích: Remind khách sau khi thêm sản phẩm vào giỏ nhưng chưa hoàn tất mua hàng, giúp tăng tỷ lệ convert
• Vị trí: Proactive Chat → Create pr...",Thêm proactive chat “Abandoned cart reminder” (https://www.notion.so/Th-m-proactive-chat-Abandoned-cart-reminder-25cb0da449f180cfaa43fdad992961a5?pvs=21),
61,"December 2, 2025",Thêm hướng dẫn cài đặt mobile app tại Inbox,"[Improvement] Banner hướng dẫn cài đặt mobile app tại Inbox
• Vấn đề: Setting cài đặt mobile app đang bị ẩn (Setting → Notification), nhiều merchant không biết cách cài app để nhận thông báo
• Vị trí:...",Thêm hướng dẫn cài đặt mobile app (https://www.notion.so/Th-m-h-ng-d-n-c-i-t-mobile-app-2b5b0da449f180ba8666f635b391500a?pvs=21),
62,"December 2, 2025",Update màn Test AI,"[Improvement] Cập nhật giao diện trang Test AI
• Mục đích: Giúp thao tác test AI thuận tiện hơn
• Mô tả:
    ◦ Thêm nút Test trên page header tại tất cả các trang ở màn AI 
    ◦ Click Test → Mở panel...",Improve màn Test AI (https://www.notion.so/Improve-m-n-Test-AI-2a0b0da449f18019ae8af3cea0a87959?pvs=21),
63,"November 28, 2025",[New Feature],"[New Feature] Tùy chỉnh màu của campaign teaser
• Mục đích: Hiển thị campaign teaser nổi bật, thu hút người mua và phù hợp với giao diện của store
• Vị trí: Proactive chat → Edit proactive chat https:...",Thêm design cho Campaign teaser (https://www.notion.so/Th-m-design-cho-Campaign-teaser-253b0da449f18028aeb1e1b993e77845?pvs=21),
64,"November 27, 2025",Thêm button Ask about it trên product card,"[New Feature] Cập nhật CTA trên teaser của proactive chat 
• Vấn đề: trên product teaser chỉ hiển thị button View và Click to reply → mức độ tương tác thấp 
• Mục đích: Tăng mức độ tương tác của khách...","Update CTA trên product teaser, thêm button Ask about it (https://www.notion.so/Update-CTA-tr-n-product-teaser-th-m-button-Ask-about-it-25ab0da449f1806fb75adb0f66a821fe?pvs=21)",
65,"November 26, 2025",[New Feature] Quick Question cho Welcome Visitor,"Chatty – 26/11/2025
[New Feature] Quick Question cho Welcome Visitor
• Mục đích: Tăng tương tác ban đầu và giúp khách truy cập bắt đầu hội thoại nhanh hơn.
• Vị trí: Proactive chat → Welcome visitor h...",[Welcome visitor] Thêm message type “Quick question” (https://www.notion.so/Welcome-visitor-Th-m-message-type-Quick-question-25cb0da449f1803b8a28f48d8a3b9879?pvs=21),
66,"November 26, 2025",[New feature] Auto tag conversation,"Chatty – 26/11/2025
[New Feature] Auto tag conversation by topic
• Mục đích: tự động gắn tag conversation theo chủ đề, giúp phân loại và quản lý conversation tốt hơn
• Vị trí: Inbox | Conversation det...",[Inbox] Auto-detect conversation topics (https://www.notion.so/Inbox-Auto-detect-conversation-topics-19ab0da449f180c6b75ddb7caa8f9260?pvs=21),
